model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.041894840812651206,98.90722569134701,8870,8968
73,11,0.03045115588265276,99.28635147190009,8904,8968
global,11,0.013547512238332627,99.78813559322035,8949,8968
73,12,0.04256660088512612,98.70651204281891,8852,8968
41,12,0.02471349653912498,98.9406779661017,8873,8968
global,12,41.19069474600555,9.611953612845674,862,8968
73,13,1.0670978097805053,0.0,0,8968
41,13,0.7982717158005346,100.0,8968,8968
global,13,0.0,100.0,8968,8968
73,14,1.0207229850549553,100.0,8968,8968
41,14,1.2731513977050781,100.0,8968,8968
global,14,nan,0.0,0,8968
73,15,nan,0.0,0,8968
41,15,nan,0.0,0,8968
global,15,nan,0.0,0,8968
41,16,nan,0.0,0,8968
73,16,nan,0.0,0,8968
global,16,nan,0.0,0,8968
73,17,nan,0.0,0,8968
41,17,nan,0.0,0,8968
global,17,nan,0.0,0,8968
41,18,nan,0.0,0,8968
73,18,nan,0.0,0,8968
global,18,nan,0.0,0,8968
