model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,11,0.9319143371854267,62.845673505798395,5636,8968
73,73_trigger,,11,1.0341751594079807,45.08251561106155,4043,8968
51,51_trigger,,11,0.7824909951833611,62.62265834076717,5616,8968
74,74_trigger,,11,0.22813622291921826,89.48483496877788,8025,8968
global,combine,,11,9.1746531702598,0.412578055307761,37,8968
global,global_in_41_trigger,,11,9.571421981389559,0.3345227475468332,30,8968
global,global_in_73_trigger,,11,9.528585098770236,0.3456735057983943,31,8968
global,global_in_51_trigger,,11,9.540171940554263,0.35682426404995543,32,8968
global,global_in_74_trigger,,11,9.070531268294213,0.412578055307761,37,8968
41,41_trigger,,12,1.0812706966468206,37.77876895628903,3388,8968
73,73_trigger,,12,0.9902678176189086,52.48661909009813,4707,8968
51,51_trigger,,12,0.7932674109563563,56.17752007136485,5038,8968
74,74_trigger,,12,0.15255193950659882,93.25379125780553,8363,8968
global,combine,,12,8.871320435237289,0.4348795718108831,39,8968
global,global_in_41_trigger,,12,9.287271410306579,0.3456735057983943,31,8968
global,global_in_73_trigger,,12,9.247139164212555,0.3456735057983943,31,8968
global,global_in_51_trigger,,12,9.248773936391622,0.3456735057983943,31,8968
global,global_in_74_trigger,,12,8.76625101785379,0.4348795718108831,39,8968
41,41_trigger,,13,0.8566638539669027,56.83541480820696,5097,8968
73,73_trigger,,13,0.9341300987538007,55.0178412132025,4934,8968
51,51_trigger,,13,0.9333933986371166,47.40187332738626,4251,8968
74,74_trigger,,13,0.10855703203408022,95.46164139161462,8561,8968
global,combine,,13,8.748278193341951,0.4683318465655665,42,8968
global,global_in_41_trigger,,13,9.179663633470765,0.3902765388046387,35,8968
global,global_in_73_trigger,,13,9.140491757831011,0.40142729705619984,36,8968
global,global_in_51_trigger,,13,9.138029059376917,0.40142729705619984,36,8968
global,global_in_74_trigger,,13,8.647061593823938,0.5017841213202497,45,8968
41,41_trigger,,14,1.104845438069472,45.09366636931311,4044,8968
73,73_trigger,,14,0.8264139398839407,66.20205173951828,5937,8968
51,51_trigger,,14,0.83717378232226,56.93577163247101,5106,8968
74,74_trigger,,14,0.15406167646911556,93.00847457627118,8341,8968
global,combine,,14,8.114728371231392,0.5798394290811775,52,8968
global,global_in_41_trigger,,14,8.575155717575795,0.4906333630686887,44,8968
global,global_in_73_trigger,,14,8.536790816301112,0.4906333630686887,44,8968
global,global_in_51_trigger,,14,8.52591776996718,0.4906333630686887,44,8968
global,global_in_74_trigger,,14,8.018992088821506,0.5798394290811775,52,8968
41,41_trigger,,15,0.9954697009072997,45.60660124888493,4090,8968
73,73_trigger,,15,0.9963064157037624,44.324264049955396,3975,8968
51,51_trigger,,15,0.8213453394934921,59.02096342551294,5293,8968
74,74_trigger,,15,0.20528869483749532,90.57760927743087,8123,8968
global,combine,,15,8.836851746987064,0.35682426404995543,32,8968
global,global_in_41_trigger,,15,9.318664956582007,0.23416592328278324,21,8968
global,global_in_73_trigger,,15,9.278431290925134,0.23416592328278324,21,8968
global,global_in_51_trigger,,15,9.266599792119758,0.23416592328278324,21,8968
